y_field,Ic
-0.000765,2.5e-05
-0.0007648,2.72e-05
-0.0007646,2.76e-05
-0.0007644,2.76e-05
-0.0007642,2.78e-05
-0.000764,2.76e-05
-0.0007638,2.84e-05
-0.0007636,2.94e-05
-0.0007634,2.94e-05
-0.0007632,3e-05
-0.000763,3.04e-05
-0.0007628,3.06e-05
-0.0007626,3.06e-05
-0.0007624,3.04e-05
-0.0007622,3.04e-05
-0.000762,2.92e-05
-0.0007618,2.9e-05
-0.0007616,2.86e-05
-0.0007614,2.88e-05
-0.0007612,2.68e-05
-0.000761,2.58e-05
-0.0007608,2.64e-05
-0.0007606,2.5e-05
-0.0007604,2.58e-05
-0.0007602,2.34e-05
-0.00076,2.24e-05
-0.0007598,2.16e-05
-0.0007596,2.08e-05
-0.0007594,2.06e-05
-0.0007592,2.02e-05
-0.000759,2.14e-05
-0.0007588,2.1e-05
-0.0007586,2.18e-05
-0.0007584,2.18e-05
-0.0007582,2.2e-05
-0.000758,2.3e-05
-0.0007578,2.32e-05
-0.0007576,2.36e-05
-0.0007574,2.56e-05
-0.0007572,2.46e-05
-0.000757,2.54e-05
-0.0007568,2.6e-05
-0.0007566,2.68e-05
-0.0007564,2.82e-05
-0.0007562,2.88e-05
-0.000756,2.92e-05
-0.0007558,2.92e-05
-0.0007556,3e-05
-0.0007554,3e-05
-0.0007552,3.02e-05
-0.000755,3.06e-05
-0.0007548,3.08e-05
-0.0007546,3.02e-05
-0.0007544,3.06e-05
-0.0007542,3.02e-05
-0.000754,2.9e-05
-0.0007538,2.9e-05
-0.0007536,2.82e-05
-0.0007534,2.76e-05
-0.0007532,2.52e-05
-0.000753,2.5e-05
-0.0007528,2.5e-05
-0.0007526,2.28e-05
-0.0007524,2.44e-05
-0.0007522,2.34e-05
-0.000752,2.16e-05
-0.0007518,2.14e-05
-0.0007516,2.12e-05
-0.0007514,1.98e-05
-0.0007512,2.02e-05
-0.000751,2.06e-05
-0.0007508,2.2e-05
-0.0007506,2.18e-05
-0.0007504,2.28e-05
-0.0007502,2.3e-05
-0.00075,2.36e-05
-0.0007498,2.52e-05
-0.0007496,2.46e-05
-0.0007494,2.58e-05
-0.0007492,2.54e-05
-0.000749,2.68e-05
-0.0007488,2.7e-05
-0.0007486,2.72e-05
-0.0007484,2.86e-05
-0.0007482,2.82e-05
-0.000748,2.86e-05
-0.0007478,2.86e-05
-0.0007476,3e-05
-0.0007474,2.96e-05
-0.0007472,3.02e-05
-0.000747,3.04e-05
-0.0007468,3.04e-05
-0.0007466,3.06e-05
-0.0007464,2.92e-05
-0.0007462,2.92e-05
-0.000746,2.96e-05
-0.0007458,2.72e-05
-0.0007456,2.6e-05
-0.0007454,2.74e-05
-0.0007452,2.62e-05
-0.000745,2.44e-05
-0.0007448,2.5e-05
-0.0007446,2.48e-05
-0.0007444,2.24e-05
-0.0007442,2.38e-05
-0.000744,2.2e-05
-0.0007438,2.14e-05
-0.0007436,2.08e-05
-0.0007434,2.02e-05
-0.0007432,2.06e-05
-0.000743,2.08e-05
-0.0007428,2.16e-05
-0.0007426,2.26e-05
-0.0007424,2.22e-05
-0.0007422,2.32e-05
-0.000742,2.5e-05
-0.0007418,2.42e-05
-0.0007416,2.56e-05
-0.0007414,2.48e-05
-0.0007412,2.62e-05
-0.000741,2.7e-05
-0.0007408,2.64e-05
-0.0007406,2.72e-05
-0.0007404,2.82e-05
-0.0007402,2.94e-05
-0.00074,2.96e-05
-0.0007398,3.02e-05
-0.0007396,3.04e-05
-0.0007394,3.04e-05
-0.0007392,3.04e-05
-0.000739,3.06e-05
-0.0007388,3e-05
-0.0007386,3e-05
-0.0007384,2.9e-05
-0.0007382,2.98e-05
-0.000738,2.82e-05
-0.0007378,2.7e-05
-0.0007376,2.6e-05
-0.0007374,2.58e-05
-0.0007372,2.62e-05
-0.000737,2.44e-05
-0.0007368,2.34e-05
-0.0007366,2.22e-05
-0.0007364,2.24e-05
-0.0007362,1.98e-05
-0.000736,2.12e-05
-0.0007358,2.06e-05
-0.0007356,2.12e-05
-0.0007354,2.12e-05
-0.0007352,2.2e-05
-0.000735,2.24e-05
