y_field,Ic
0.000485,2.6e-06
0.0004852,2.7e-06
0.0004854,2.8e-06
0.0004856,2.7e-06
0.0004858,2.8e-06
0.000486,2.9e-06
0.0004862,2.9e-06
0.0004864,2.9e-06
0.0004866,2.9e-06
0.0004868,2.9e-06
0.000487,2.9e-06
0.0004872,3e-06
0.0004874,3e-06
0.0004876,2.9e-06
0.0004878,3e-06
0.000488,2.9e-06
0.0004882,2.9e-06
0.0004884,2.9e-06
0.0004886,2.9e-06
0.0004888,2.8e-06
0.000489,2.8e-06
0.0004892,2.7e-06
0.0004894,2.8e-06
0.0004896,2.7e-06
0.0004898,2.6e-06
0.00049,2.6e-06
0.0004902,2.6e-06
0.0004904,2.6e-06
0.0004906,2.5e-06
0.0004908,2.5e-06
0.000491,2.5e-06
0.0004912,2.5e-06
0.0004914,2.5e-06
0.0004916,2.5e-06
0.0004918,2.5e-06
0.000492,2.5e-06
0.0004922,2.5e-06
0.0004924,2.5e-06
0.0004926,2.6e-06
0.0004928,2.6e-06
0.000493,2.7e-06
0.0004932,2.7e-06
0.0004934,2.7e-06
0.0004936,2.8e-06
0.0004938,2.8e-06
0.000494,2.8e-06
0.0004942,2.8e-06
0.0004944,2.9e-06
0.0004946,2.9e-06
0.0004948,2.9e-06
0.000495,3e-06
0.0004952,3e-06
0.0004954,3e-06
0.0004956,3e-06
0.0004958,2.9e-06
0.000496,2.9e-06
0.0004962,2.9e-06
0.0004964,2.9e-06
0.0004966,2.8e-06
0.0004968,2.8e-06
0.000497,2.8e-06
0.0004972,2.8e-06
0.0004974,2.7e-06
0.0004976,2.7e-06
0.0004978,2.6e-06
0.000498,2.6e-06
0.0004982,2.5e-06
0.0004984,2.5e-06
0.0004986,2.5e-06
0.0004988,2.5e-06
0.000499,2.5e-06
0.0004992,2.5e-06
0.0004994,2.5e-06
0.0004996,2.5e-06
0.0004998,2.5e-06
0.0005,2.6e-06
0.0005002,2.5e-06
0.0005004,2.6e-06
0.0005006,2.6e-06
0.0005008,2.7e-06
0.000501,2.7e-06
0.0005012,2.7e-06
0.0005014,2.7e-06
0.0005016,2.8e-06
0.0005018,2.8e-06
0.000502,2.8e-06
0.0005022,2.9e-06
0.0005024,2.9e-06
0.0005026,3e-06
0.0005028,3e-06
0.000503,3e-06
0.0005032,3e-06
0.0005034,3e-06
0.0005036,3e-06
0.0005038,3e-06
0.000504,3e-06
0.0005042,2.9e-06
0.0005044,2.9e-06
0.0005046,2.9e-06
0.0005048,2.8e-06
0.000505,2.8e-06
0.0005052,2.8e-06
0.0005054,2.7e-06
0.0005056,2.7e-06
0.0005058,2.6e-06
0.000506,2.6e-06
0.0005062,2.6e-06
0.0005064,2.6e-06
0.0005066,2.5e-06
0.0005068,2.5e-06
0.000507,2.5e-06
0.0005072,2.5e-06
0.0005074,2.5e-06
0.0005076,2.5e-06
0.0005078,2.5e-06
0.000508,2.5e-06
0.0005082,2.5e-06
0.0005084,2.6e-06
0.0005086,2.6e-06
0.0005088,2.6e-06
0.000509,2.7e-06
0.0005092,2.8e-06
0.0005094,2.8e-06
0.0005096,2.8e-06
0.0005098,2.8e-06
0.00051,2.9e-06
0.0005102,2.9e-06
0.0005104,2.9e-06
0.0005106,3e-06
0.0005108,3e-06
0.000511,3e-06
0.0005112,3e-06
0.0005114,3e-06
0.0005116,3e-06
0.0005118,3e-06
0.000512,3e-06
0.0005122,2.9e-06
0.0005124,2.9e-06
0.0005126,2.9e-06
0.0005128,2.9e-06
0.000513,2.8e-06
0.0005132,2.8e-06
0.0005134,2.7e-06
0.0005136,2.6e-06
0.0005138,2.6e-06
0.000514,2.6e-06
0.0005142,2.5e-06
0.0005144,2.6e-06
0.0005146,2.5e-06
0.0005148,2.5e-06
0.000515,2.5e-06
