y_field,Ic
0.000735,2.8e-05
0.0007352,2.68e-05
0.0007354,3e-05
0.0007356,3.26e-05
0.0007358,3.32e-05
0.000736,3.42e-05
0.0007362,3.38e-05
0.0007364,3.16e-05
0.0007366,3.14e-05
0.0007368,2.84e-05
0.000737,2.9e-05
0.0007372,2.64e-05
0.0007374,2.64e-05
0.0007376,2.54e-05
0.0007378,2.34e-05
0.000738,2.38e-05
0.0007382,2.18e-05
0.0007384,2.18e-05
0.0007386,2.2e-05
0.0007388,2.3e-05
0.000739,2.28e-05
0.0007392,2.34e-05
0.0007394,2.4e-05
0.0007396,2.48e-05
0.0007398,2.52e-05
0.00074,2.58e-05
0.0007402,2.66e-05
0.0007404,2.62e-05
0.0007406,2.78e-05
0.0007408,2.82e-05
0.000741,2.84e-05
0.0007412,2.96e-05
0.0007414,2.9e-05
0.0007416,2.88e-05
0.0007418,3e-05
0.000742,3.1e-05
0.0007422,3.08e-05
0.0007424,3.1e-05
0.0007426,3.2e-05
0.0007428,3.16e-05
0.000743,3.2e-05
0.0007432,3.2e-05
0.0007434,3.16e-05
0.0007436,3.2e-05
0.0007438,3.12e-05
0.000744,3.04e-05
0.0007442,3.02e-05
0.0007444,2.94e-05
0.0007446,2.98e-05
0.0007448,2.96e-05
0.000745,2.72e-05
0.0007452,2.7e-05
0.0007454,2.56e-05
0.0007456,2.56e-05
0.0007458,2.38e-05
0.000746,2.38e-05
0.0007462,2.4e-05
0.0007464,2.18e-05
0.0007466,2.16e-05
0.0007468,2.16e-05
0.000747,2.28e-05
0.0007472,2.32e-05
0.0007474,2.44e-05
0.0007476,2.36e-05
0.0007478,2.52e-05
0.000748,2.52e-05
0.0007482,2.6e-05
0.0007484,2.7e-05
0.0007486,2.72e-05
0.0007488,2.76e-05
0.000749,2.84e-05
0.0007492,2.92e-05
0.0007494,2.98e-05
0.0007496,3e-05
0.0007498,2.98e-05
0.00075,3.04e-05
0.0007502,3.06e-05
0.0007504,3.08e-05
0.0007506,3.14e-05
0.0007508,3.16e-05
0.000751,3.18e-05
0.0007512,3.2e-05
0.0007514,3.16e-05
0.0007516,3.14e-05
0.0007518,2.96e-05
0.000752,3e-05
0.0007522,2.8e-05
0.0007524,2.88e-05
0.0007526,2.72e-05
0.0007528,2.52e-05
0.000753,2.58e-05
0.0007532,2.4e-05
0.0007534,2.38e-05
0.0007536,2.24e-05
0.0007538,2.26e-05
0.000754,2.24e-05
0.0007542,2.1e-05
0.0007544,2.24e-05
0.0007546,2.24e-05
0.0007548,2.26e-05
0.000755,2.38e-05
0.0007552,2.42e-05
0.0007554,2.48e-05
0.0007556,2.5e-05
0.0007558,2.56e-05
0.000756,2.68e-05
0.0007562,2.56e-05
0.0007564,2.66e-05
0.0007566,2.74e-05
0.0007568,2.84e-05
0.000757,2.84e-05
0.0007572,2.9e-05
0.0007574,2.98e-05
0.0007576,2.96e-05
0.0007578,3.02e-05
0.000758,3.04e-05
0.0007582,3.06e-05
0.0007584,3.12e-05
0.0007586,3.12e-05
0.0007588,3.18e-05
0.000759,3.16e-05
0.0007592,3.14e-05
0.0007594,3.04e-05
0.0007596,3.04e-05
0.0007598,3.08e-05
0.00076,2.94e-05
0.0007602,2.78e-05
0.0007604,3.06e-05
0.0007606,2.7e-05
0.0007608,2.78e-05
0.000761,2.56e-05
0.0007612,2.5e-05
0.0007614,2.32e-05
0.0007616,2.28e-05
0.0007618,2.1e-05
0.000762,2.16e-05
0.0007622,2.18e-05
0.0007624,2.22e-05
0.0007626,2.28e-05
0.0007628,2.32e-05
0.000763,2.3e-05
0.0007632,2.44e-05
0.0007634,2.46e-05
0.0007636,2.44e-05
0.0007638,2.48e-05
0.000764,2.54e-05
0.0007642,2.54e-05
0.0007644,2.7e-05
0.0007646,2.76e-05
0.0007648,2.74e-05
0.000765,2.8e-05
